query_id,query,ground_truth_uid,top1_uid,top1_score,top1_correct,topk_match,decision,latency_ms,num_candidates
0,"SALHAB, Azzam",Consolidated_9669,Consolidated_9669,1.0,True,True,is_match,30.350208282470703,3
1,salhab azzam,Consolidated_9669,Consolidated_9669,1.0,True,True,is_match,41.528940200805664,3
2,"SALHAB, AZZAM",Consolidated_9669,Consolidated_9669,1.0,True,True,is_match,34.49821472167969,3
3,"SALHAB, Azxam",Consolidated_9669,Consolidated_9669,0.9166666269302368,True,True,is_match,28.14316749572754,3
4,TEST USER 754,,SDN_11309,0.47863247990608215,,,no_match,23.87404441833496,3
5,PERUVIAN PRECIOUS METALS S.A.C.,SDN_11406,SDN_11406,1.0,True,True,is_match,24.920940399169922,3
6,peruvian precious metals s a c,SDN_11406,SDN_11406,1.0,True,True,is_match,24.65224266052246,3
7,PERUVIAN PRECIOUS METALS S.A.C.,SDN_11406,SDN_11406,1.0,True,True,is_match,25.15411376953125,3
8,PERUVIAN PRECIOUS METALh S.A.C.,SDN_11406,SDN_11406,0.9666666388511658,True,True,is_match,23.851871490478516,3
9,NONMATCH NAME 139,,SDN_7132,0.47238093614578247,,,no_match,22.44091033935547,3
10,AVIATION EQUIPMENT HOLDING,Consolidated_18773_alt_29531,Consolidated_18773_alt_29531,1.0,True,True,is_match,23.453950881958008,3
11,aviation equipment holding,Consolidated_18773_alt_29531,Consolidated_18773_alt_29531,1.0,True,True,is_match,23.784160614013672,3
12,AVIATION EQUIPMENT HOLDING,Consolidated_18773_alt_29531,Consolidated_18773_alt_29531,1.0,True,True,is_match,23.459911346435547,3
13,AVIATION EQUIPwENT HOLDING,Consolidated_18773_alt_29531,Consolidated_18773_alt_29531,0.961538553237915,True,True,is_match,23.517131805419922,3
14,TEST NAME 518,,SDN_11645,0.5090909004211426,,,no_match,21.448850631713867,3
15,PUBLIC JOINT STOCK COMPANY CHELYABINSKIY MASHINOSTROITELNYY ZAVOD AVTOMOBILNYKH PRITSEPOV URALAVTOPRITSEP,SDN_46631,SDN_46631,1.0,True,True,is_match,29.449939727783203,3
16,public joint stock company chelyabinskiy mashinostroitelnyy zavod avtomobilnykh pritsepov uralavtopritsep,SDN_46631,SDN_46631,1.0,True,True,is_match,29.199838638305664,3
17,PUBLIC JOINT STOCK COMPANY CHELYABINSKIY MASHINOSTROITELNYY ZAVOD AVTOMOBILNYKH PRITSEPOV URALAVTOPRITSEP,SDN_46631,SDN_46631,1.0,True,True,is_match,28.941869735717773,3
18,PUBLIC JOINT STOCK COMPANY CHELYABINSKIY MASHINOaTROITELNYY ZAVOD AVTOMOBILNYKH PRITSEPOV URALAVTOPRITSEP,SDN_46631,SDN_46631,0.9904762506484985,True,True,is_match,29.206037521362305,3
19,SAMPLE ENTITY 378,,SDN_12469,0.49454542994499207,,,no_match,22.199630737304688,3
20,PRINTPRODAKT,SDN_47520_alt_73559,SDN_47520_alt_73559,1.0,True,True,is_match,18.87798309326172,3
21,printprodakt,SDN_47520_alt_73559,SDN_47520_alt_73559,1.0,True,True,is_match,18.444061279296875,3
22,PRINTPRODAKT,SDN_47520_alt_73559,SDN_47520_alt_73559,1.0,True,True,is_match,18.069982528686523,3
23,PRINkPRODAKT,SDN_47520_alt_73559,SDN_47520_alt_73559,0.9166666269302368,True,True,is_match,18.208742141723633,3
24,SAMPLE USER 178,,SDN_17043,0.4838787913322449,,,no_match,22.30095863342285,3
25,"AL-FITOURI, Ahmad Oumar Imhamad",SDN_24314_alt_45367,SDN_24314_alt_45367,1.0,True,True,is_match,20.86806297302246,3
