query_id,query,ground_truth_uid,top1_uid,top1_score,top1_correct,topk_match,decision,latency_ms,num_candidates
0,"SALHAB, Azzam",Consolidated_9669,Consolidated_9669,1.0,True,True,is_match,26.67403221130371,3
1,salhab azzam,Consolidated_9669,Consolidated_9669,1.0,True,True,is_match,26.625871658325195,3
2,"SALHAB, AZZAM",Consolidated_9669,Consolidated_9669,1.0,True,True,is_match,25.798320770263672,3
3,"SALHAB, Azxam",Consolidated_9669,Consolidated_9669,0.9166666269302368,True,True,is_match,26.422977447509766,3
4,TEST USER 754,,SDN_11309,0.47863247990608215,,,no_match,22.064208984375,3
5,PERUVIAN PRECIOUS METALS S.A.C.,SDN_11406,SDN_11406,1.0,True,True,is_match,23.239850997924805,3
6,peruvian precious metals s a c,SDN_11406,SDN_11406,1.0,True,True,is_match,23.128032684326172,3
7,PERUVIAN PRECIOUS METALS S.A.C.,SDN_11406,SDN_11406,1.0,True,True,is_match,23.14615249633789,3
8,PERUVIAN PRECIOUS METALh S.A.C.,SDN_11406,SDN_11406,0.9666666388511658,True,True,is_match,23.046255111694336,3
9,NONMATCH NAME 139,,SDN_7132,0.47238093614578247,,,no_match,21.746158599853516,3
10,AVIATION EQUIPMENT HOLDING,Consolidated_18773_alt_29531,Consolidated_18773_alt_29531,1.0,True,True,is_match,23.02694320678711,3
11,aviation equipment holding,Consolidated_18773_alt_29531,Consolidated_18773_alt_29531,1.0,True,True,is_match,23.13709259033203,3
12,AVIATION EQUIPMENT HOLDING,Consolidated_18773_alt_29531,Consolidated_18773_alt_29531,1.0,True,True,is_match,23.007869720458984,3
13,AVIATION EQUIPwENT HOLDING,Consolidated_18773_alt_29531,Consolidated_18773_alt_29531,0.961538553237915,True,True,is_match,23.238182067871094,3
14,TEST NAME 518,,SDN_11645,0.5090909004211426,,,no_match,21.97408676147461,3
15,PUBLIC JOINT STOCK COMPANY CHELYABINSKIY MASHINOSTROITELNYY ZAVOD AVTOMOBILNYKH PRITSEPOV URALAVTOPRITSEP,SDN_46631,SDN_46631,1.0,True,True,is_match,28.99003028869629,3
16,public joint stock company chelyabinskiy mashinostroitelnyy zavod avtomobilnykh pritsepov uralavtopritsep,SDN_46631,SDN_46631,1.0,True,True,is_match,28.680801391601562,3
17,PUBLIC JOINT STOCK COMPANY CHELYABINSKIY MASHINOSTROITELNYY ZAVOD AVTOMOBILNYKH PRITSEPOV URALAVTOPRITSEP,SDN_46631,SDN_46631,1.0,True,True,is_match,29.09398078918457,3
18,PUBLIC JOINT STOCK COMPANY CHELYABINSKIY MASHINOaTROITELNYY ZAVOD AVTOMOBILNYKH PRITSEPOV URALAVTOPRITSEP,SDN_46631,SDN_46631,0.9904762506484985,True,True,is_match,29.313087463378906,3
19,SAMPLE ENTITY 378,,SDN_12469,0.49454542994499207,,,no_match,22.17411994934082,3
20,PRINTPRODAKT,SDN_47520_alt_73559,SDN_47520_alt_73559,1.0,True,True,is_match,21.60787582397461,3
21,printprodakt,SDN_47520_alt_73559,SDN_47520_alt_73559,1.0,True,True,is_match,18.652915954589844,3
22,PRINTPRODAKT,SDN_47520_alt_73559,SDN_47520_alt_73559,1.0,True,True,is_match,19.390106201171875,3
23,PRINkPRODAKT,SDN_47520_alt_73559,SDN_47520_alt_73559,0.9166666269302368,True,True,is_match,19.75393295288086,3
24,SAMPLE USER 178,,SDN_17043,0.4838787913322449,,,no_match,24.63674545288086,3
25,"AL-FITOURI, Ahmad Oumar Imhamad",SDN_24314_alt_45367,SDN_24314_alt_45367,1.0,True,True,is_match,23.243188858032227,3
26,al-fitouri ahmad oumar imhamad,SDN_24314_alt_45367,SDN_24314_alt_45367,1.0,True,True,is_match,23.152828216552734,3
27,"AL-FITOURI, AHMAD OUMAR IMHAMAD",SDN_24314_alt_45367,SDN_24314_alt_45367,1.0,True,True,is_match,22.94182777404785,3
28,"AL-FITOURI, Ahmad umar Imhamad",SDN_24314_alt_45367,SDN_24314_alt_45367,0.9795441627502441,True,True,is_match,22.192955017089844,3
29,TEST ENTITY 460,,SDN_11222,0.5079460144042969,,,no_match,23.502111434936523,3
30,"SHAKUTA, Dmitry Shok",SDN_32271_alt_51391,SDN_32271_alt_51391,1.0,True,True,is_match,24.31201934814453,3
31,shakuta dmitry shok,SDN_32271_alt_51391,SDN_32271_alt_51391,1.0,True,True,is_match,24.56521987915039,3
32,"SHAKUTA, DMITRY SHOK",SDN_32271_alt_51391,SDN_32271_alt_51391,1.0,True,True,is_match,24.880170822143555,3
33,"SHAKUTA, Dmitry Skok",SDN_32271_alt_51391,SDN_32271_alt_51391,0.9473684430122375,True,True,is_match,24.981975555419922,3
34,NONMATCH NAME 661,,SDN_7132,0.47238093614578247,,,no_match,22.908926010131836,3
35,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU VTB PENSIONNY ADMINISTRATOR,SDN_18730_alt_29366,SDN_18730_alt_29366,1.0,True,True,is_match,32.466888427734375,3
36,obshchestvo s ogranichennoi otvetstvennostyu vtb pensionny administrator,SDN_18730_alt_29366,SDN_18730_alt_29366,1.0,True,True,is_match,32.527923583984375,3
37,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU VTB PENSIONNY ADMINISTRATOR,SDN_18730_alt_29366,SDN_18730_alt_29366,1.0,True,True,is_match,32.53602981567383,3
38,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU VTB PENSIONNY ADMINISTRATO,SDN_18730_alt_29366,SDN_18730_alt_29366,0.9944055676460266,True,True,is_match,32.16290473937988,3
39,NONMATCH ENTITY 168,,SDN_6710,0.45503687858581543,,,no_match,22.32813835144043,3
40,LIMITED LIABILITY COMPANY INZHENERNO TEKHNOLOGICHESKI TSENTR ATM,SDN_48027,SDN_48027,1.0,True,True,is_match,46.202898025512695,3
41,limited liability company inzhenerno tekhnologicheski tsentr atm,SDN_48027,SDN_48027,1.0,True,True,is_match,47.895193099975586,3
42,LIMITED LIABILITY COMPANY INZHENERNO TEKHNOLOGICHESKI TSENTR ATM,SDN_48027,SDN_48027,1.0,True,True,is_match,44.084787368774414,3
43,LIMITED LIABILrTY COMPANY INZHENERNO TEKHNOLOGICHESKI TSENTR ATM,SDN_48027,SDN_48027,0.984375,True,True,is_match,24.6737003326416,3
44,NONMATCH PERSON 609,,SDN_13361,0.49835196137428284,,,no_match,22.33409881591797,3
45,"VAHAP, Zebih Ullah",SDN_46479_alt_71742,SDN_46479_alt_71742,1.0,True,True,is_match,22.420167922973633,3
46,vahap zebih ullah,SDN_46479_alt_71742,SDN_46479_alt_71742,1.0,True,True,is_match,22.74298667907715,3
47,"VAHAP, ZEBIH ULLAH",SDN_46479_alt_71742,SDN_46479_alt_71742,1.0,True,True,is_match,21.9271183013916,3
